what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1474208741011
started,bundle,org.eclipse.osgi,3.10.102.v20160118-1700,"org.eclipse.osgi",1474208741014
started,bundle,org.eclipse.equinox.simpleconfigurator,1.1.100.v20150423-1455,"org.eclipse.equinox.simpleconfigurator",1474208741015
started,bundle,com.ibm.icu,54.1.1.v201501272100,"com.ibm.icu",1474208741016
started,bundle,org.apache.felix.gogo.command,0.10.0.v201209301215,"org.apache.felix.gogo.command",1474208741016
started,bundle,org.apache.felix.gogo.runtime,0.10.0.v201209301036,"org.apache.felix.gogo.runtime",1474208741017
started,bundle,org.apache.felix.gogo.shell,0.10.0.v201212101605,"org.apache.felix.gogo.shell",1474208741017
started,bundle,org.eclipse.core.contenttype,3.5.0.v20150421-2214,"org.eclipse.core.contenttype",1474208741018
started,bundle,org.eclipse.core.databinding.observable,1.5.0.v20150422-0725,"org.eclipse.core.databinding.observable",1474208741019
started,bundle,org.eclipse.core.expressions,3.5.0.v20150421-2214,"org.eclipse.core.expressions",1474208741019
started,bundle,org.eclipse.core.filebuffers,3.5.500.v20140723-1040,"org.eclipse.core.filebuffers",1474208741020
started,bundle,org.eclipse.core.filesystem,1.5.0.v20150725-1910,"org.eclipse.core.filesystem",1474208741021
started,bundle,org.eclipse.core.jobs,3.7.0.v20150330-2103,"org.eclipse.core.jobs",1474208741023
started,bundle,org.eclipse.core.net,1.2.300.v20141118-1725,"org.eclipse.core.net",1474208741023
started,bundle,org.eclipse.core.resources,3.10.1.v20150725-1910,"org.eclipse.core.resources",1474208741026
started,bundle,org.eclipse.core.runtime,3.11.1.v20150903-1804,"org.eclipse.core.runtime",1474208741027
started,bundle,org.eclipse.core.runtime.compatibility,3.2.300.v20150423-0821,"org.eclipse.core.runtime.compatibility",1474208741027
started,bundle,org.eclipse.core.variables,3.2.800.v20130819-1716,"org.eclipse.core.variables",1474208741028
started,bundle,org.eclipse.debug.core,3.10.0.v20150303-1130,"org.eclipse.debug.core",1474208741029
started,bundle,org.eclipse.e4.core.commands,0.11.0.v20150422-0725,"org.eclipse.e4.core.commands",1474208741030
started,bundle,org.eclipse.e4.core.contexts,1.4.0.v20150828-0818,"org.eclipse.e4.core.contexts",1474208741031
started,bundle,org.eclipse.e4.core.di,1.5.0.v20150421-2214,"org.eclipse.e4.core.di",1474208741031
started,bundle,org.eclipse.e4.core.di.extensions,0.13.0.v20150421-2214,"org.eclipse.e4.core.di.extensions",1474208741032
started,bundle,org.eclipse.e4.core.services,2.0.0.v20150403-1912,"org.eclipse.e4.core.services",1474208741033
started,bundle,org.eclipse.e4.ui.bindings,0.11.0.v20150422-0725,"org.eclipse.e4.ui.bindings",1474208741035
started,bundle,org.eclipse.e4.ui.css.swt,0.12.0.v20150511-1003,"org.eclipse.e4.ui.css.swt",1474208741035
started,bundle,org.eclipse.e4.ui.css.swt.theme,0.10.0.v20150422-0725,"org.eclipse.e4.ui.css.swt.theme",1474208741037
started,bundle,org.eclipse.e4.ui.di,1.1.0.v20150422-0725,"org.eclipse.e4.ui.di",1474208741037
started,bundle,org.eclipse.e4.ui.model.workbench,1.1.100.v20150407-1430,"org.eclipse.e4.ui.model.workbench",1474208741071
started,bundle,org.eclipse.e4.ui.services,1.2.0.v20150422-0725,"org.eclipse.e4.ui.services",1474208741071
started,bundle,org.eclipse.e4.ui.workbench,1.3.1.v20160203-0951,"org.eclipse.e4.ui.workbench",1474208741077
started,bundle,org.eclipse.e4.ui.workbench.addons.swt,1.2.0.v20150512-1414,"org.eclipse.e4.ui.workbench.addons.swt",1474208741078
started,bundle,org.eclipse.e4.ui.workbench.renderers.swt,0.13.0.v20150901-1347,"org.eclipse.e4.ui.workbench.renderers.swt",1474208741079
started,bundle,org.eclipse.e4.ui.workbench.swt,0.13.0.v20150504-0621,"org.eclipse.e4.ui.workbench.swt",1474208741079
started,bundle,org.eclipse.ecf,3.7.0.v20151130-0157,"org.eclipse.ecf",1474208741081
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20151130-0157,"org.eclipse.ecf.filetransfer",1474208741082
started,bundle,org.eclipse.ecf.identity,3.6.0.v20151130-0157,"org.eclipse.ecf.identity",1474208741083
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.200.v20151130-0157,"org.eclipse.ecf.provider.filetransfer",1474208741084
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient4,1.1.0.v20151130-0157,"org.eclipse.ecf.provider.filetransfer.httpclient4",1474208741085
started,bundle,org.eclipse.egit.core,4.1.1.201511131810-r,"org.eclipse.egit.core",1474208741085
started,bundle,org.eclipse.egit.ui,4.1.1.201511131810-r,"org.eclipse.egit.ui",1474208741098
started,bundle,org.eclipse.emf.common,2.11.1.v20160208-0816,"org.eclipse.emf.common",1474208741098
started,bundle,org.eclipse.emf.common.ui,2.10.1.v20160208-0841,"org.eclipse.emf.common.ui",1474208741098
started,bundle,org.eclipse.emf.ecore,2.11.2.v20160208-0816,"org.eclipse.emf.ecore",1474208741098
