what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1474281776089
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1474281776089
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1474281776089
started,bundle,org.eclipse.mylyn.commons.core,3.20.2.v20160630-1640,"org.eclipse.mylyn.commons.core",1474281776089
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.12.2.v20160630-1640,"org.eclipse.mylyn.commons.notifications.core",1474281776089
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.12.2.v20160630-1640,"org.eclipse.mylyn.commons.notifications.feed",1474281776090
started,bundle,org.eclipse.mylyn.commons.notifications.ui,1.12.2.v20160630-1640,"org.eclipse.mylyn.commons.notifications.ui",1474281776090
started,bundle,org.eclipse.mylyn.commons.ui,3.20.2.v20160630-1640,"org.eclipse.mylyn.commons.ui",1474281776090
started,bundle,org.eclipse.mylyn.commons.workbench,3.20.2.v20160630-1640,"org.eclipse.mylyn.commons.workbench",1474281776090
started,bundle,org.jboss.ide.eclipse.archives.core,3.6.101.v20160819-1749,"org.jboss.ide.eclipse.archives.core",1474281776090
started,bundle,org.jboss.ide.eclipse.archives.jdt.integration,3.6.101.v20160819-1749,"org.jboss.ide.eclipse.archives.jdt.integration",1474281776090
started,bundle,org.jboss.ide.eclipse.archives.ui,3.6.101.v20160819-1749,"org.jboss.ide.eclipse.archives.ui",1474281776090
started,bundle,org.jboss.ide.eclipse.archives.webtools,3.2.1.v20160809-1927,"org.jboss.ide.eclipse.archives.webtools",1474281776090
started,bundle,org.jboss.ide.eclipse.as.core,3.2.1.v20160901-2242,"org.jboss.ide.eclipse.as.core",1474281776090
started,bundle,org.jboss.ide.eclipse.as.ui,3.2.1.v20160901-2242,"org.jboss.ide.eclipse.as.ui",1474281776090
started,bundle,org.jboss.ide.eclipse.as.wtp.core,3.2.1.v20160711-1757,"org.jboss.ide.eclipse.as.wtp.core",1474281776090
started,bundle,org.jboss.tools.foundation.core,1.3.1.Final-v20160902-0628-B19,"org.jboss.tools.foundation.core",1474281776091
started,bundle,org.jboss.tools.usage,2.2.1.v20160607-2053,"org.jboss.tools.usage",1474281776091
started,bundle,com.collabnet.subversion.merge,4.1.0,"com.collabnet.subversion.merge",1474281776091
started,bundle,org.tigris.subversion.clientadapter,1.10.3,"org.tigris.subversion.clientadapter",1474281776091
started,bundle,org.tigris.subversion.subclipse.core,1.10.12,"org.tigris.subversion.subclipse.core",1474281776091
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1474281776091
started,bundle,org.tigris.subversion.subclipse.ui,1.10.13,"org.tigris.subversion.subclipse.ui",1474281776091
started,bundle,org.jboss.tools.foundation.checkup,1.3.1.v20160607-2053,"org.jboss.tools.foundation.checkup",1474281776093
os,sysinfo,,,"win32",1474281776094
arch,sysinfo,,,"x86_64",1474281776094
ws,sysinfo,,,"win32",1474281776094
locale,sysinfo,,,"en_GB",1474281776094
processors,sysinfo,,,"4",1474281776095
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1474281776095
java.runtime.version,sysinfo,,,"1.8.0_60-b27",1474281776095
java.specification.name,sysinfo,,,"Java Platform API Specification",1474281776095
java.specification.vendor,sysinfo,,,"Oracle Corporation",1474281776095
java.specification.version,sysinfo,,,"1.8",1474281776095
java.vendor,sysinfo,,,"Oracle Corporation",1474281776095
java.version,sysinfo,,,"1.8.0_60",1474281776095
java.vm.info,sysinfo,,,"mixed mode",1474281776095
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1474281776095
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1474281776095
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1474281776095
java.vm.specification.version,sysinfo,,,"1.8",1474281776095
java.vm.vendor,sysinfo,,,"Oracle Corporation",1474281776095
java.vm.version,sysinfo,,,"25.60-b23",1474281776095
started,bundle,org.jboss.tools.foundation.ui,1.3.1.v20160901-2241,"org.jboss.tools.foundation.ui",1474281776378
started,bundle,org.jboss.tools.runtime.core,3.2.1.v20160812-0025,"org.jboss.tools.runtime.core",1474281776393
started,bundle,org.jboss.tools.runtime.ui,3.2.1.v20160901-2241,"org.jboss.tools.runtime.ui",1474281776397
started,bundle,com.zeroturnaround.eclipse.optimizer.plugin,1.0.11,"com.zeroturnaround.eclipse.optimizer.plugin",1474281776502
